# chunk name	size	kind	first4bytes
@ui/widgets/LootButtonBackground.lua                        	10345	luac	1B 4C 4A 02
@ui/widgets/MagazineAttachment.lua                          	752	luac	1B 4C 4A 02
@ui/widgets/MarginsGuide.lua                                	3169	luac	1B 4C 4A 02
@ui/widgets/MenuButton.lua                                  	5549	luac	1B 4C 4A 02
@ui/widgets/MenuButtonSmall.lua                             	4268	luac	1B 4C 4A 02
@ui/widgets/MenuFillBar.lua                                 	3253	luac	1B 4C 4A 02
@ui/widgets/MenuLeftArrow.lua                               	6150	luac	1B 4C 4A 02
@ui/widgets/MenuRightArrow.lua                              	6157	luac	1B 4C 4A 02
@ui/widgets/MicLevelSliderBar.lua                           	5931	luac	1B 4C 4A 02
@ui/widgets/MoreInfoInnerButton.lua                         	3206	luac	1B 4C 4A 02
@ui/widgets/MouseCursorContextualMenu.lua                   	685	luac	1B 4C 4A 02
@ui/widgets/MouseCursorContextualMenuAction.lua             	2385	luac	1B 4C 4A 02
@ui/widgets/MouseCursorContextualMenuPanel.lua              	671	luac	1B 4C 4A 02
@ui/widgets/MouseCursorContextualMenuSeparator.lua          	642	luac	1B 4C 4A 02
@ui/widgets/MouseCursorContextualMenuTitle.lua              	5634	luac	1B 4C 4A 02
@ui/widgets/MouseCursorTooltip.lua                          	3325	luac	1B 4C 4A 02
@ui/widgets/MouseCursorTooltipDescription.lua               	1449	luac	1B 4C 4A 02
@ui/widgets/MouseCursorTooltipDetails.lua                   	1034	luac	1B 4C 4A 02
@ui/widgets/MouseCursorTooltipTitle.lua                     	1706	luac	1B 4C 4A 02
@ui/widgets/MuteAllIcon.lua                                 	1295	luac	1B 4C 4A 02
@ui/widgets/MuzzleAttachment.lua                            	834	luac	1B 4C 4A 02
@ui/widgets/NavigationArrow.lua                             	8833	luac	1B 4C 4A 02
@ui/widgets/NetworkDiagnosticOptions.lua                    	3080	luac	1B 4C 4A 02
@ui/widgets/NetworkDiagnosticOptionsButtons.lua             	4420	luac	1B 4C 4A 02
@ui/widgets/NetworkInfos.lua                                	899	luac	1B 4C 4A 02
@ui/widgets/NetworkInfosList.lua                            	3149	luac	1B 4C 4A 02
@ui/widgets/NewItemNotification.lua                         	6138	luac	1B 4C 4A 02
@ui/widgets/NewItemSmallIcon.lua                            	2507	luac	1B 4C 4A 02
@ui/widgets/OptionCategories.lua                            	2834	luac	1B 4C 4A 02
@ui/widgets/OptionDescription.lua                           	1239	luac	1B 4C 4A 02
@ui/widgets/OptionDetailPreview.lua                         	2168	luac	1B 4C 4A 02
@ui/widgets/OptionsGraphicsSliderBar.lua                    	11000	luac	1B 4C 4A 02
@ui/widgets/OptionsGraphicsSliderBarOverflow.lua            	1101	luac	1B 4C 4A 02
@ui/widgets/OptionsKeyBindingBanner.lua                     	3891	luac	1B 4C 4A 02
@ui/widgets/OptionsMenuNewLayout.lua                        	45652	luac	1B 4C 4A 02
@ui/widgets/OptionWindow.lua                                	3458	luac	1B 4C 4A 02
@ui/widgets/PCOptionSubmenuGrid.lua                         	2898	luac	1B 4C 4A 02
@ui/widgets/PerkSpecialistInfo.lua                          	6817	luac	1B 4C 4A 02
@ui/widgets/PerkTab.lua                                     	10683	luac	1B 4C 4A 02
@ui/widgets/PerktypeAttachment.lua                          	607	luac	1B 4C 4A 02
@ui/widgets/PlayerDetailsAvailability.lua                   	6077	luac	1B 4C 4A 02
@ui/widgets/PlayerDetailsAvailabilityButton.lua             	3185	luac	1B 4C 4A 02
@ui/widgets/PlayerDetailsAvailabilityDropdown.lua           	2530	luac	1B 4C 4A 02
@ui/widgets/QuickPlayButtonBackground.lua                   	11851	luac	1B 4C 4A 02
@ui/widgets/ReceiverWithAttachments.lua                     	5343	luac	1B 4C 4A 02
@ui/widgets/RecordStopButton.lua                            	2379	luac	1B 4C 4A 02
@ui/widgets/RegistrationTime.lua                            	5248	luac	1B 4C 4A 02
@ui/widgets/ScopeAttachment.lua                             	839	luac	1B 4C 4A 02
@ui/widgets/ScreenMargins.lua                               	10546	luac	1B 4C 4A 02
@ui/widgets/SecondaryTab.lua                                	6884	luac	1B 4C 4A 02
@ui/widgets/SelectSearchPlatformPopup.lua                   	2679	luac	1B 4C 4A 02
@ui/widgets/SocialAddFriends.lua                            	14409	luac	1B 4C 4A 02
@ui/widgets/SocialAddFriendsPopup.lua                       	3407	luac	1B 4C 4A 02
@ui/widgets/SocialFeed.lua                                  	5980	luac	1B 4C 4A 02
@ui/widgets/SocialFriendCard.lua                            	14799	luac	1B 4C 4A 02
@ui/widgets/SocialFriendDetails.lua                         	2984	luac	1B 4C 4A 02
@ui/widgets/SocialFriendRequestsPopup.lua                   	3882	luac	1B 4C 4A 02
@ui/widgets/SocialFriendSearch.lua                          	1074	luac	1B 4C 4A 02
@ui/widgets/SocialFriendSearchButton.lua                    	3602	luac	1B 4C 4A 02
